invoice_ref,line_date,line_amount
322529,2025-05-31,483.18
322719,2025-05-31,141.97
322719,2025-05-31,141.97
322529,2025-05-31,483.18
333406,2025-06-16,813.07
345386,2025-07-01,251.64
345386,2025-07-01,251.64
345485,2025-07-01,103.49
345485,2025-07-01,103.49
345072,2025-07-01,17.49
345072,2025-07-01,17.49
346396,2025-07-02,78.10
346396,2025-07-02,78.10
361340,2025-07-21,801.25
361656,2025-07-21,146.19
361657,2025-07-21,43.39
361340,2025-07-21,801.25
361657,2025-07-21,43.39
361656,2025-07-21,146.19
362486,2025-07-22,88.37
362488,2025-07-22,23.12
362309,2025-07-22,229.39
362309,2025-07-22,229.39
362488,2025-07-22,23.12
362486,2025-07-22,88.37
363387,2025-07-23,83.24
363341,2025-07-23,554.18
363341,2025-07-23,554.18
363387,2025-07-23,83.24
364397,2025-07-24,203.35
364350,2025-07-24,811.27
364350,2025-07-24,811.27
364397,2025-07-24,203.35
365411,2025-07-25,635.01
365494,2025-07-25,134.35
365411,2025-07-25,635.01
365494,2025-07-25,134.35
366112,2025-07-26,114.12
366450,2025-07-26,956.88
366112,2025-07-26,114.12
366450,2025-07-26,956.88
367763,2025-07-28,126.68
367426,2025-07-28,1113.94
367763,2025-07-28,126.68
367610,2025-07-28,112.79
367610,2025-07-28,112.79
367426,2025-07-28,1113.94
368514,2025-07-29,808.34
368782,2025-07-29,61.10
368514,2025-07-29,808.34
368782,2025-07-29,61.10
369421,2025-07-30,611.05
369421,2025-07-30,611.05
369685,2025-07-30,134.29
368911,2025-07-30,67.80
369685,2025-07-30,134.29
368911,2025-07-30,67.80
370777,2025-07-31,242.83
370559,2025-07-31,806.81
370777,2025-07-31,242.83
370559,2025-07-31,806.81
377038,2025-08-07,995.92
379245,2025-08-09,1008.14
380237,2025-08-11,964.68
381523,2025-08-12,1043.00
383640,2025-08-14,1147.16
384959,2025-08-15,1116.91
386186,2025-08-16,3129.16
387452,2025-08-18,363.20
388536,2025-08-19,176.59
388294,2025-08-19,729.30
389452,2025-08-20,129.45
389099,2025-08-20,224.55
390283,2025-08-21,168.70
390539,2025-08-21,54.12
391436,2025-08-22,1419.19
392751,2025-08-23,1378.33
392180,2025-08-23,325.74
392323,2025-08-23,52.97
393185,2025-08-23,39.30
395051,2025-08-26,276.64
394910,2025-08-26,913.90
395941,2025-08-27,385.15
396115,2025-08-27,39.54
396414,2025-08-28,70.63
396813,2025-08-28,1035.83
397034,2025-08-28,69.41
397471,2025-08-29,38.77
397810,2025-08-29,437.06
397470,2025-08-29,102.87
399124,2025-08-30,59.37
399165,2025-08-30,184.64
398913,2025-08-30,1003.89
400625,2025-09-02,95.98
400717,2025-09-02,230.38
401377,2025-09-03,96.48
402056,2025-09-04,286.25
402722,2025-09-05,204.92
403788,2025-09-06,50.71
403585,2025-09-06,25.81
403522,2025-09-06,314.23
404407,2025-09-08,279.43
404160,2025-09-08,149.76
405188,2025-09-09,178.39
404956,2025-09-09,405.29
406494,2025-09-11,129.40
406600,2025-09-11,85.85
407394,2025-09-12,68.10
408224,2025-09-13,18.33
407969,2025-09-13,363.17
408218,2025-09-13,144.00
408225,2025-09-13,21.99
408945,2025-09-15,76.17
409647,2025-09-16,68.27
410326,2025-09-17,320.96
410137,2025-09-17,127.88
411214,2025-09-18,52.18
412170,2025-09-19,84.00
411941,2025-09-19,100.34
412678,2025-09-20,357.75
412844,2025-09-20,136.17
413556,2025-09-22,116.35
415167,2025-09-24,131.10
415171,2025-09-24,38.73
414935,2025-09-24,78.66
415713,2025-09-25,241.74
415418,2025-09-25,159.94
416563,2025-09-26,215.15
416876,2025-09-26,25.28
417090,2025-09-27,60.00
417611,2025-09-27,55.53
417358,2025-09-27,441.12
417084,2025-09-27,131.17
423335,2025-10-07,41.38
425957,2025-10-11,28.35
426187,2025-10-11,72.96
426681,2025-10-13,275.83
427306,2025-10-14,255.65
427527,2025-10-14,54.68
428106,2025-10-15,63.67
429115,2025-10-17,122.32
429460,2025-10-17,74.17
429751,2025-10-18,415.58
430236,2025-10-18,152.64
430693,2025-10-20,335.40
431343,2025-10-21,71.86
432430,2025-10-23,61.01
433459,2025-10-24,91.09
434971,2025-10-27,19.68
434656,2025-10-27,205.54
435732,2025-10-28,62.90
435322,2025-10-28,88.22
436286,2025-10-29,204.90
435855,2025-10-29,3.92
435921,2025-10-29,7.14
436535,2025-10-29,31.09
436295,2025-10-29,43.76
437111,2025-10-30,172.78
438116,2025-10-31,204.29
438117,2025-10-31,62.40
437841,2025-10-31,20.38
438861,2025-11-01,193.19
438861,2025-11-01,193.19
462539,2025-12-18,49.65
462959,2025-12-18,39.94
462959,2025-12-18,39.94
462539,2025-12-18,49.65
490322,2026-02-16,42.00
490365,2026-02-16,84.61
491184,2026-02-17,51.31
492408,2026-02-19,52.80
492507,2026-02-19,21.60
493148,2026-02-20,82.34
493816,2026-02-21,24.78
493470,2026-02-21,42.00
493469,2026-02-21,226.65
508528,2026-03-20,231.65
508412,2026-03-20,245.67
509671,2026-03-21,27.21
509591,2026-03-21,406.04
510466,2026-03-23,534.86
511210,2026-03-24,35.83
510958,2026-03-24,14.49
512810,2026-03-26,46.00
515770,2026-03-31,1370.34
518767,2026-04-03,1316.65
518865,2026-04-03,28.57
519806,2026-04-04,83.20
519436,2026-04-04,32.00
520746,2026-04-06,111.45
520737,2026-04-06,1009.05
520278,2026-04-06,319.81
521839,2026-04-07,292.91
521542,2026-04-07,148.56
521090,2026-04-07,100.88
522080,2026-04-08,22.61
522734,2026-04-08,15.40
522584,2026-04-08,352.04
522023,2026-04-08,15.49
523023,2026-04-09,30.98
523586,2026-04-09,753.00
525028,2026-04-10,32.67
524001,2026-04-10,73.59
525171,2026-04-11,87.56
525748,2026-04-11,131.50
525164,2026-04-11,687.26
526604,2026-04-13,168.56
526462,2026-04-13,62.22
527581,2026-04-15,128.30
527714,2026-04-15,17.08
530254,2026-04-18,167.54
529765,2026-04-18,663.74
530924,2026-04-20,27.82
532310,2026-04-22,100.53
532312,2026-04-22,22.49
531835,2026-04-22,36.00
532488,2026-04-23,120.00
533520,2026-04-24,77.05
533954,2026-04-24,45.99
534687,2026-04-25,727.53
534854,2026-04-25,67.86
549407,2026-05-16,81.58
549230,2026-05-16,71.29
550222,2026-05-18,173.48
551607,2026-05-20,91.03
551430,2026-05-20,175.25
552003,2026-05-21,191.81
